ID,Movie Name,Rating,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Cleaned_Plot
3801,The Foreigner,0.39473684210526305,113.0,"Action, Thriller",55.0,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.","['Martin Campbell', 'Katie Leung', 'Jackie Chan', 'Rufus Jones', 'Mark Tandy']","['Katie Leung', 'Jackie Chan', 'Rufus Jones', 'Mark Tandy']",0.03960382320380745,0.036719213542570794,https://www.imdb.com/title/tt1615160/,humble businessman buried past seek justice daughter killed act terrorism conflict ensues government official whose past may hold clue killer identity
3802,The Last Boy Scout,0.39473684210526305,105.0,"Action, Comedy, Crime",52.0,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.","['Tony Scott', 'Bruce Willis', 'Damon Wayans', 'Chelsea Field', 'Noble Willingham']","['Bruce Willis', 'Damon Wayans', 'Chelsea Field', 'Noble Willingham']",0.03559567271438427,0.06353402203738723,https://www.imdb.com/title/tt0102266/,private detective protected female witness murdered prompting victim boyfriend investigate crime lead corrupt politician crooked football team owner
3803,My Own Private Idaho,0.39473684210526305,104.0,Drama,77.0,Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.,"['Gus Van Sant', 'River Phoenix', 'Keanu Reeves', 'James Russo', 'William Richert']","['River Phoenix', 'Keanu Reeves', 'James Russo', 'William Richert']",0.01792582587882492,0.006834191533494735,https://www.imdb.com/title/tt0102494/,two best friend living street portland hustler embark journey self discovery find relationship stumbling along way
3804,Out of Sight,0.39473684210526305,123.0,"Comedy, Crime, Drama",85.0,"A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.","['Steven Soderbergh', 'George Clooney', 'Jennifer Lopez', 'Ving Rhames', 'Steve Zahn']","['George Clooney', 'Jennifer Lopez', 'Ving Rhames', 'Steve Zahn']",0.03135013994979602,0.04010256875760948,https://www.imdb.com/title/tt0120780/,career bank robber break jail share moment mutual attraction marshal kidnapped
3805,Marley & Me,0.39473684210526305,115.0,"Drama, Family",53.0,"A family learns important life lessons from their adorable, but naughty and neurotic dog.","['David Frankel', 'Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner']","['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner']",0.055637883731547266,0.1528339045271494,https://www.imdb.com/title/tt0822832/,family learns important life lesson adorable naughty neurotic dog
3806,An Officer and a Gentleman,0.39473684210526305,124.0,"Drama, Romance",75.0,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.","['Taylor Hackford', 'Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia']","['Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia']",0.018025373284539306,0.13857241437275522,https://www.imdb.com/title/tt0084434/,young man must complete work navy officer candidate school become aviator help tough gunnery sergeant new girlfriend
3807,Meet the Parents,0.39473684210526305,108.0,"Comedy, Romance",73.0,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","['Jay Roach', 'Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner']","['Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner']",0.12175158218385859,0.17748558104005857,https://www.imdb.com/title/tt0212338/,male nurse greg focker meet girlfriend parent proposing suspicious father every date worst nightmare
3808,Pee-wee's Big Adventure,0.39473684210526305,91.0,"Adventure, Comedy, Family",47.0,"When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.","['Tim Burton', 'Paul Reubens', 'Elizabeth Daily', 'Mark Holton', 'Diane Salinger']","['Paul Reubens', 'Elizabeth Daily', 'Mark Holton', 'Diane Salinger']",0.01642495730036187,0.043665680342409204,https://www.imdb.com/title/tt0089791/,eccentric herman get beloved bike stolen broad daylight set across adventure life
3809,The Spy Who Loved Me,0.39473684210526305,125.0,"Action, Adventure, Thriller",55.0,"James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed.","['Lewis Gilbert', 'Roger Moore', 'Barbara Bach', 'Curd Jürgens', 'Richard Kiel']","['Roger Moore', 'Barbara Bach', 'Curd Jürgens', 'Richard Kiel']",0.037328089287824,0.04996464264345933,https://www.imdb.com/title/tt0076752/,james bond investigates hijacking british russian submarine carrying nuclear warhead help agent whose lover killed
3810,Body of Lies,0.39473684210526305,128.0,"Action, Drama, Thriller",57.0,A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,"['Ridley Scott', 'Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Golshifteh Farahani']","['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Golshifteh Farahani']",0.0813834682753722,0.042058554559953436,https://www.imdb.com/title/tt0758774/,cia agent ground jordan hunt powerful terrorist leader caught unclear intention american supervisor jordan intelligence
3811,Chip 'n Dale: Rescue Rangers,0.39473684210526305,97.0,"Animation, Action, Adventure",66.0,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend.","['Akiva Schaffer', 'Andy Samberg', 'John Mulaney', 'KiKi Layne', 'Will Arnett']","['Andy Samberg', 'John Mulaney', 'KiKi Layne', 'Will Arnett']",0.012338408670907216,4.6801289896802474e-05,https://www.imdb.com/title/tt3513500/,thirty year popular television show ended chipmunk chip dale live different life cast member original series mysteriously disappears pair must reunite save friend
3812,The Mule,0.39473684210526305,116.0,"Crime, Drama, Thriller",58.0,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,"['Clint Eastwood', 'Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']","['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']",0.04862690215766267,0.11082372920053021,https://www.imdb.com/title/tt7959026/,horticulturist korean war veteran turn drug mule mexican cartel
3813,Soul Surfer,0.39473684210526305,112.0,"Biography, Drama, Family",53.0,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,"['Sean McNamara', 'AnnaSophia Robb', 'Dennis Quaid', 'Helen Hunt', 'Carrie Underwood']","['AnnaSophia Robb', 'Dennis Quaid', 'Helen Hunt', 'Carrie Underwood']",0.015033116832919342,0.046818817026310335,https://www.imdb.com/title/tt1596346/,teenage surfer bethany hamilton overcomes odds fear returning water losing left arm shark attack
3814,The Adjustment Bureau,0.39473684210526305,106.0,"Romance, Sci-Fi, Thriller",60.0,The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.,"['George Nolfi', 'Matt Damon', 'Emily Blunt', 'Lisa Thoreson', 'Florence Kastriner']","['Matt Damon', 'Emily Blunt', 'Lisa Thoreson', 'Florence Kastriner']",0.09219183696687443,0.06672163860035187,https://www.imdb.com/title/tt1385826/,affair politician contemporary dancer affected mysterious force keeping lover apart
3815,Breakdown,0.39473684210526305,93.0,"Crime, Drama, Mystery",73.0,A man searches for his missing wife after his car breaks down in the middle of the desert.,"['Jonathan Mostow', 'Kurt Russell', 'J.T. Walsh', 'Kathleen Quinlan', 'M.C. Gainey']","['Kurt Russell', 'J.T. Walsh', 'Kathleen Quinlan', 'M.C. Gainey']",0.017531647323596893,0.05351895062772779,https://www.imdb.com/title/tt0118771/,man search missing wife car break middle desert
3816,The Color of Money,0.39473684210526305,119.0,"Drama, Sport",77.0,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.","['Martin Scorsese', 'Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver']",0.028697730319149715,0.05583013171136578,https://www.imdb.com/title/tt0090863/,fast eddie felson teach cocky immensely talented protégé rope pool hustling turn inspires make unlikely comeback
3817,Brotherhood of the Wolf,0.39473684210526305,142.0,"Action, Adventure, Drama",57.0,"In 18th-century France, the Chevalier de Fronsac and his Native American friend Mani are sent to the Gevaudan province at the king's behest to investigate the killings of hundreds by a mysterious beast.","['Christophe Gans', 'Samuel Le Bihan', 'Mark Dacascos', 'Jérémie Renier', 'Vincent Cassel']","['Samuel Le Bihan', 'Mark Dacascos', 'Jérémie Renier', 'Vincent Cassel']",0.021434780769629073,0.012021504426689708,https://www.imdb.com/title/tt0237534/,france chevalier de fronsac native american friend mani sent gevaudan province king behest investigate killing hundred mysterious beast
3818,Julie & Julia,0.39473684210526305,123.0,"Biography, Drama, Romance",66.0,Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.,"['Nora Ephron', 'Amy Adams', 'Meryl Streep', 'Chris Messina', 'Stanley Tucci']","['Amy Adams', 'Meryl Streep', 'Chris Messina', 'Stanley Tucci']",0.04173114761749876,0.10049024844941487,https://www.imdb.com/title/tt1135503/,julia child story start cooking profession intertwined blogger julie powell challenge cook recipe child first book
3819,The One I Love,0.39473684210526305,91.0,"Comedy, Drama, Fantasy",66.0,"A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.","['Charlie McDowell', 'Mark Duplass', 'Elisabeth Moss', 'Ted Danson', 'Kiana Cason']","['Mark Duplass', 'Elisabeth Moss', 'Ted Danson', 'Kiana Cason']",0.011504835888991151,0.0005462246583324876,https://www.imdb.com/title/tt2756032/,troubled couple vacate beautiful getaway bizarre circumstance complicate situation
3820,The Dressmaker,0.39473684210526305,119.0,"Comedy, Drama, Western",47.0,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.","['Jocelyn Moorhouse', 'Kate Winslet', 'Judy Davis', 'Liam Hemsworth', 'Hugo Weaving']","['Kate Winslet', 'Judy Davis', 'Liam Hemsworth', 'Hugo Weaving']",0.019378926288245533,0.0021580800006176827,https://www.imdb.com/title/tt2910904/,glamorous woman return small town rural australia sewing machine haute couture style transforms woman exacts sweet revenge wrong
3821,Foxcatcher,0.39473684210526305,134.0,"Biography, Drama, History",81.0,"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.","['Bennett Miller', 'Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Vanessa Redgrave']","['Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Vanessa Redgrave']",0.04941999962077179,0.012914253150755357,https://www.imdb.com/title/tt1100089/,olympic wrestling champion brother mark schultz dave schultz join team foxcatcher led eccentric john du pont train olympic game seoul south korea john behavior threatens consume
3822,Pawn Sacrifice,0.39473684210526305,115.0,"Biography, Drama, History",65.0,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.","['Edward Zwick', 'Tobey Maguire', 'Liev Schreiber', 'Peter Sarsgaard', 'Michael Stuhlbarg']","['Tobey Maguire', 'Liev Schreiber', 'Peter Sarsgaard', 'Michael Stuhlbarg']",0.013676282046607148,0.002600782814963505,https://www.imdb.com/title/tt1596345/,set cold war american chess prodigy bobby fischer find caught two superpower struggle challenge soviet empire
3823,P.S. I Love You,0.39473684210526305,126.0,"Comedy, Drama, Romance",39.0,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,"['Richard LaGravenese', 'Hilary Swank', 'Gerard Butler', 'Harry Connick Jr.', 'Lisa Kudrow']","['Hilary Swank', 'Gerard Butler', 'Harry Connick Jr.', 'Lisa Kudrow']",0.07447203410720199,0.05732675020740508,https://www.imdb.com/title/tt0431308/,young widow discovers late husband left message intended help ease pain start new life
3824,Some Kind of Wonderful,0.39473684210526305,95.0,"Drama, Romance",55.0,"When Keith goes out with Amanda, the girl of his dreams, Amanda's ex-boyfriend plans to get back at Keith. Meanwhile, Keith's best friend, tomboy Watts, realizes she has feelings for Keith.","['Howard Deutch', 'Eric Stoltz', 'Mary Stuart Masterson', 'Lea Thompson', 'Craig Sheffer']","['Eric Stoltz', 'Mary Stuart Masterson', 'Lea Thompson', 'Craig Sheffer']",0.008403551326350673,0.019808572016086167,https://www.imdb.com/title/tt0094006/,keith go amanda girl dream amanda plan get back keith meanwhile keith best friend tomboy watt realizes feeling keith
3825,Battle for Sevastopol,0.39473684210526305,110.0,"Action, Biography, Drama",,"A story of Lyudmila Pavlichenko, the most successful female sniper in history.","['Sergey Mokritskiy', 'Yuliya Peresild', 'Evgeniy Tsyganov', 'Oleg Vasilkov', 'Nikita Tarasov']","['Yuliya Peresild', 'Evgeniy Tsyganov', 'Oleg Vasilkov', 'Nikita Tarasov']",0.0011734196028897188,1.4111810795810278e-05,https://www.imdb.com/title/tt4084744/,story lyudmila pavlichenko successful female sniper history
3826,Brimstone,0.39473684210526305,148.0,"Drama, Mystery, Thriller",45.0,"From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger.","['Martin Koolhoven', 'Guy Pearce', 'Dakota Fanning', 'Emilia Jones', 'Carice van Houten']","['Guy Pearce', 'Dakota Fanning', 'Emilia Jones', 'Carice van Houten']",0.012122904946448602,4.617032604596847e-05,https://www.imdb.com/title/tt1895315/,moment new reverend climb pulpit liz know family great danger
3827,Filth,0.39473684210526305,97.0,"Action, Comedy, Crime",56.0,"A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own inner demons.","['Jon S. Baird', 'James McAvoy', 'Jamie Bell', 'Eddie Marsan', 'Imogen Poots']","['James McAvoy', 'Jamie Bell', 'Eddie Marsan', 'Imogen Poots']",0.03736710603658385,3.6634337694615966e-05,https://www.imdb.com/title/tt1450321/,corrupt junkie cop bipolar disorder attempt manipulate way promotion order win back wife daughter also fighting inner demon
3828,Enough Said,0.39473684210526305,93.0,"Comedy, Drama, Romance",78.0,A divorced woman who decides to pursue the man she's interested in learns he's her new friend's ex-husband.,"['Nicole Holofcener', 'Julia Louis-Dreyfus', 'James Gandolfini', 'Catherine Keener', 'Toni Collette']","['Julia Louis-Dreyfus', 'James Gandolfini', 'Catherine Keener', 'Toni Collette']",0.019904011505200533,0.018722630915385122,https://www.imdb.com/title/tt2390361/,divorced woman decides pursue man interested learns new friend
3829,The Pink Panther,0.39473684210526305,115.0,"Comedy, Crime, Romance",55.0,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".","['Blake Edwards', 'David Niven', 'Peter Sellers', 'Robert Wagner', 'Capucine']","['David Niven', 'Peter Sellers', 'Robert Wagner', 'Capucine']",0.016137254358571943,0.011613685052042955,https://www.imdb.com/title/tt0057413/,bumbling inspector clouseau travel rome catch notorious jewel thief known phantom conduct daring heist yet princess priceless diamond one slight imperfection known pink panther
3830,Cool Runnings,0.39473684210526305,98.0,"Adventure, Comedy, Family",60.0,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.","['Jon Turteltaub', 'John Candy', 'Leon', 'Doug E. Doug', 'Rawle D. Lewis']","['John Candy', 'Leon', 'Doug E. Doug', 'Rawle D. Lewis']",0.03599094519714762,0.07351236622634863,https://www.imdb.com/title/tt0106611/,jamaican sprinter disqualified olympic game enlists help dishonored coach start first jamaican bobsled team
3831,Mallrats,0.39473684210526305,94.0,"Comedy, Romance",41.0,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.","['Kevin Smith', 'Shannen Doherty', 'Jeremy London', 'Jason Lee', 'Claire Forlani']","['Shannen Doherty', 'Jeremy London', 'Jason Lee', 'Claire Forlani']",0.04223107250114133,0.0022660826488039255,https://www.imdb.com/title/tt0113749/,dumped girlfriend two best friend seek refuge local mall
3832,Professor Marston & the Wonder Women,0.39473684210526305,108.0,"Biography, Drama, History",68.0,"The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman.","['Angela Robinson', 'Luke Evans', 'Rebecca Hall', 'Bella Heathcote', 'Connie Britton']","['Luke Evans', 'Rebecca Hall', 'Bella Heathcote', 'Connie Britton']",0.006359365405343908,0.001692557860810395,https://www.imdb.com/title/tt6133130/,story psychologist william moulton marston polyamorous relationship wife mistress would inspire creation superheroine wonder woman
3833,The Towering Inferno,0.39473684210526305,165.0,"Action, Drama, Thriller",69.0,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.","['John Guillermin', 'Paul Newman', 'Steve McQueen', 'William Holden', 'Faye Dunaway']","['Paul Newman', 'Steve McQueen', 'William Holden', 'Faye Dunaway']",0.013186567153294254,0.12384399708967443,https://www.imdb.com/title/tt0072308/,opening party colossal poorly constructed office building massive fire break threatens destroy tower everyone
3834,A Most Violent Year,0.39473684210526305,125.0,"Action, Crime, Drama",79.0,"In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.","['J.C. Chandor', 'Oscar Isaac', 'Jessica Chastain', 'David Oyelowo', 'Alessandro Nivola']","['Oscar Isaac', 'Jessica Chastain', 'David Oyelowo', 'Alessandro Nivola']",0.023686448279835418,0.006128466473492368,https://www.imdb.com/title/tt2937898/,new york city ambitious immigrant fight protect business family dangerous year city history
3835,Fisherman's Friends,0.39473684210526305,112.0,"Comedy, Drama, Music",45.0,"Ten fisherman from Cornwall are signed by Universal Records and achieve a top ten hit with their debut album, ""Sea Shanties.""","['Chris Foggin', 'James Purefoy', 'Meadow Nobrega', 'David Hayman', 'Maggie Steed']","['James Purefoy', 'Meadow Nobrega', 'David Hayman', 'Maggie Steed']",0.00014439843466262535,1.109898509859613e-05,https://www.imdb.com/title/tt1648186/,ten fisherman cornwall signed universal record achieve top ten hit debut album sea shanty
3836,Ip Man 4: The Finale,0.39473684210526305,107.0,"Action, Biography, Drama",62.0,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,"['Wilson Yip', 'Donnie Yen', 'Scott Adkins', 'Danny Kwok-Kwan Chan', 'Vanness Wu']","['Donnie Yen', 'Scott Adkins', 'Danny Kwok-Kwan Chan', 'Vanness Wu']",0.008969476504624397,0.004223533226788059,https://www.imdb.com/title/tt2076298/,kung fu master travel student upset local martial art community opening wing chun school
3837,Spy Game,0.39473684210526305,126.0,"Action, Crime, Thriller",63.0,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,"['Tony Scott', 'Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane']","['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane']",0.05514379312809308,2.868056326362894e-05,https://www.imdb.com/title/tt0266987/,retiring cia agent nathan muir recall training tom bishop working agency politics free chinese captor
3838,Niagara,0.39473684210526305,92.0,"Film-Noir, Thriller",70.0,"As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.","['Henry Hathaway', 'Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter']","['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter']",0.0032019258958901867,2.005098491119026e-05,https://www.imdb.com/title/tt0046126/,two couple visiting niagara fall tension one wife husband reach level murder
3839,The Little Death,0.39473684210526305,96.0,"Comedy, Drama, Romance",46.0,The secret lives of five suburban couples living in Sydney reveal both the fetishes and the repercussions that come with sharing them.,"['Josh Lawson', 'Bojana Novakovic', 'Josh Lawson', 'Damon Herriman', 'Kate Mulvany']","['Bojana Novakovic', 'Josh Lawson', 'Damon Herriman', 'Kate Mulvany']",0.006263829067259041,1.9463793510244908e-05,https://www.imdb.com/title/tt2785032/,secret life five suburban couple living sydney reveal fetish repercussion come sharing
3840,Buried,0.39473684210526305,95.0,"Drama, Mystery, Thriller",65.0,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,"['Rodrigo Cortés', 'Ryan Reynolds', 'José Luis García-Pérez', 'Robert Paterson', 'Stephen Tobolowsky']","['Ryan Reynolds', 'José Luis García-Pérez', 'Robert Paterson', 'Stephen Tobolowsky']",0.05643681547484477,0.0010982091304978846,https://www.imdb.com/title/tt1462758/,paul truck driver working iraq attack group iraqi wake find buried alive inside coffin lighter cell phone race time escape claustrophobic death trap
3841,Sex and Lucía,0.39473684210526305,128.0,"Drama, Romance",65.0,"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life.","['Julio Medem', 'Paz Vega', 'Tristán Ulloa', 'Najwa Nimri', 'Elena Anaya']","['Paz Vega', 'Tristán Ulloa', 'Najwa Nimri', 'Elena Anaya']",0.010127581122019594,0.0015909363817213347,https://www.imdb.com/title/tt0254455/,various life converge isolated island connected author whose novel become inextricably entwined life
